row_id,domain,vllm_field,vllm_value,frontier_field,frontier_value,unit,vllm_anchor,frontier_anchor,status,impact,owner,note
S01,parallel/attention,data_parallel_size,2,attn_dp,2,ranks,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,Request-owner lanes: one EngineCore per DP rank <-> one replica-local scheduler per attn_dp lane (base_cluster_scheduler.py:350).
S02,parallel/pipeline,pipeline_parallel_size,2 (G3: 1),num_pipeline_stages,2,stages,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,G3 is the PP1 smoke of plan §18.5 and uses engine_g3.json.
S03,parallel/attention,tensor_parallel_size,1,attn_tensor_parallel_size,1,ranks,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S04,parallel/moe,FusedMoEParallelConfig.tp_size with enable_expert_parallel,1,moe_tensor_parallel_size,1,ranks,vllm/model_executor/layers/fused_moe/config.py:291-302,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,Kept separate from attention TP (AGENTS.md MoE TP/EP authority).
S05,parallel/moe,FusedMoEParallelConfig.ep_size = tp x dp,2,moe_expert_parallel_size,2,ranks,"vllm/model_executor/layers/fused_moe/config.py:271,294",tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,"One EP collective across both DP lanes of one pod, not two EP=1 replicas."
S06,parallel/pod,one serving pod,1,num_replicas,1,pods,run_vllm_worker.sh (one vllm serve),runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S07,frontend,api_server_count (default),1,modeled frontends,1,processes,vllm/entrypoints/cli/serve.py:43-76 (not passed),frontier/scheduler/utils/vllm_dp_load_balancer.py select(),MATCH,none,G2,Reservation per route = client_count = 1; start index = 0 for client_index 0 (core_client.py:1139-1153).
S08,model,architecture / layers / experts / top_k,Qwen3MoeForCausalLM / 8 / 16 / 8,model_name / num_layers / total_expert_num / router_topk,Qwen3-30B-A3B-tiny / 8 / 16 / 8,-,data/config/models/Qwen3-30B-A3B-tiny.json via vllm_burst_driver.write_model_dir,inputs/frontier_g4.json; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S09,model,dtype,bfloat16,model dtype,bfloat16 (label),-,inputs/engine_g4.json,data/config/models/Qwen3-30B-A3B-tiny.json,MATCH,none,G2,No Frontier effect under dummy timing and explicit num_blocks.
S10,model,load_format,dummy,execution time predictor,dummy mode (no weights),-,inputs/engine_g4.json,runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,Contract: dummy loading keeps the execution path; real_weight_download=false.
S11,request,skip_tokenizer_init + token-id prompts,true,trace token counts,num_prefill_tokens,tokens,inputs/engine_g4.json; vllm_replay.py replay(),inputs/trace_g4/trace.csv (G3: inputs/trace_g3),MATCH,none,G2,"Prompt ids from vllm_burst_driver.prompt_token_ids; no tokenizer, no chat template."
S12,request,"max_tokens = min_tokens, ignore_eos",num_decode_tokens,num_decode_tokens,num_decode_tokens,tokens,vllm_replay.py replay(),frontier/entities/request.py:1282-1293,MATCH,none,G2,Both grant the first output token at prefill completion.
S13,request,max_model_len,40960,TraceRequestGeneratorConfig.max_tokens,40960,tokens,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,The generator default 4096 would clip the long prompt silently.
S14,scheduler,max_num_batched_tokens,20448 (G3: 32768),max_tokens_in_batch,20448,tokens,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_g4_2ms/*/effective_settings.json,MATCH,T2 window,G4,"Plan §18.19 rule 1 applied to G3: fitting f(n) = 1.248e-7 n^2 + 2.227e-3 n ms to the G3 PP1 forwards (z2, z3 and the burst's 32768-token step) gives f(20448) of about 98 ms, so no B with 2B + 64 <= 40960 reaches the 250 ms target; B = 20448 and T2 may end SCENARIO_NOT_REACHED."
S15,scheduler,max_num_seqs,16,batch_size_cap,16,requests,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S16,scheduler,block_size,16,block_size,16,tokens,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S17,scheduler,num_gpu_blocks per engine (min over its PP workers),from the G4 startup log,num_blocks (explicit),300333 provisional,blocks,vllm/v1/engine/core.py:219-227; vllm/v1/core/kv_cache_utils.py:1028,inputs/frontier_g4.json (set before G5),UNSET,none unless capacity binds,G4->G5,Resolved by the G4 run itself; G5 simulator-run must use the logged per-engine value. Case peak KV is far below either value.
S18,scheduler,enable_chunked_prefill,true,enable_chunked_prefill,true,-,inputs/engine_g4.json,runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S19,scheduler,enable_prefix_caching,false,enable_prefix_caching,false,-,inputs/engine_g4.json,runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,No prefix-state contamination possible.
S20,scheduler,policy (default),fcfs,scheduling_policy,fcfs,-,vllm/config/scheduler.py:124,runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S21,scheduler,long_prefill_token_threshold (default),0,long_prefill_token_threshold,0,tokens,vllm/config/scheduler.py:64,runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S22,scheduler,async_scheduling (default),false,replica scheduler,vllm_v1 synchronous,-,vllm/config/scheduler.py:155,runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S23,pipeline,batch_queue_size = max_concurrent_batches,pipeline_parallel_size,in-flight batches,num_pipeline_stages,batches,vllm/v1/executor/multiproc_executor.py:325-328; vllm/v1/engine/core.py:152,frontier/scheduler/replica_scheduler/base_replica_scheduler.py:906,MATCH,none,G2,
S24,graph,enforce_eager,true,decode_cuda_graph_mode,none,-,inputs/engine_g4.json,tests/comparison/dp_placement_pp/run_frontier_case.py:case_config; runs/frontier_precheck_2ms/*/effective_settings.json,MATCH,none,G2,
S25,coordinator,min_stats_update_interval_ms (not settable from serve),100,CHANGED_PUBLISH_INTERVAL_MS,100,ms,"vllm/v1/engine/coordinator.py:117,123; vllm/v1/engine/utils.py:641",frontier/scheduler/utils/vllm_dp_load_balancer.py,MATCH,none,G2,
S26,coordinator,unchanged publish interval,5000,UNCHANGED_PUBLISH_INTERVAL_MS,5000,ms,vllm/v1/engine/coordinator.py:201,frontier/scheduler/utils/vllm_dp_load_balancer.py,MATCH,none,G2,
S27,coordinator,min_timeout collection wait,50 (0 while counts are latched),SNAPSHOT_COLLECTION_WAIT_MS,50 (0 while latched),ms,vllm/v1/engine/coordinator.py:205,frontier/scheduler/utils/vllm_dp_load_balancer.py,MATCH,none,G2,
S28,frontend,score,"waiting*4 + running, lowest index wins",WAITING_SCORE_WEIGHT,"4, lowest index wins",-,vllm/v1/engine/core_client.py:1141-1151,frontier/scheduler/utils/vllm_dp_load_balancer.py select(),MATCH,none,G2,
S29,frontend,snapshot application,latest drained snapshot replaces lb_engines,frontend_counts,replaced wholesale,-,vllm/v1/engine/core_client.py:1066-1085,frontier/scheduler/utils/vllm_dp_load_balancer.py,MATCH,none,G2,
S30,transport,ZMQ engine->coordinator->frontend latency,measured (sub-ms to ms),IPC latency,not modeled,ms,dp_placement records (monotonic),frontier/scheduler/utils/vllm_dp_load_balancer.py module docstring,MISMATCH,can reorder a publication and a route that fall within about 1 ms,G5,Declared simulator abstraction. The T2 window keeps both edges at least tens of ms from the probe; G5 labels any reorder 'snapshot publication' or 'arrival/delivery order'.
S31,timing,engine forward time,measured GPU time,dummy_execution_time_ms,2.0 per component (about 124 ms per PP stage),ms,G3/G4 dp_placement engine_iteration monotonic,inputs/frontier_g4.json; runs/frontier_precheck_2ms/*/effective_settings.json,MISMATCH,T1 natural-history rows can batch differently; T2 needs the first completion after the probe on both sides,G5,Approved treatment D-e (plan §18.7). Frontier's value is re-derived from the G4 first-chunk duration before G5.
S32,workload,request arrival,client origin + arrived_at; dispatch time recorded per request,arrived_at,trace value,s,vllm_replay.py replay() client_requests.jsonl,inputs/trace/trace.csv,MATCH,"dispatch jitter is recorded, not assumed zero",G2,
S33,workload,route order of a simultaneous burst,"client dispatch order (G3: equal arrival times left asyncio timer order b5,b4,b3,b1,b2; routes kept that order 0.3 ms apart after a common 42.7 ms delay)",trace row order,row order,-,dp_placement frontend_route seq,run_frontier_case.py placement_request_ids,UNSET,decides the T2 premise (long prompt must be routed 2nd or 4th),G4->G5,"G4 dispatches each burst in trace order, 0.25 ms apart (bursts a-c) or 6 ms apart (burst d, plan §18.19 rule 2); compare_placement.py qualifies every burst by burst_routed_in_trace_order."
S34,workload,request id mapping,X-Request-Id -> cmpl-<id>-0,trace row index -> request_ids.json,frontier_request_id,-,"vllm/entrypoints/openai/serving_engine.py:971-978; serving_completion.py:115-116,194",inputs/trace/request_ids.json,MATCH,none,G2,Namespace dpp2 (G3: dpp1g3; G2 pre-check: dpp1).
S35,workload,warmups / idle gap,"3 at 1 s spacing, then 20 s idle before each of four bursts (G3: 8 s)",same trace rows,same,-,inputs/workload_g4.json,inputs/trace_g4/trace.csv,MATCH,none,G2,"The 20 s gap gives vLLM the same idle state before every burst (wave ended, HTTP keep-alive expired) and lets Frontier's dummy-timed decodes drain between bursts (G4 pre-check). Warmups are excluded from every comparison."
S36,runtime knobs,VLLM_FRONTIER_WAIT_INITIAL_REQUESTS / EXPECTED_NUM_REQUESTS / INSTRUMENTATION / PP_BOUNDARY / SCHED log,removed from the server env,-,-,-,vllm_replay.py REMOVED_ENV_VARS,-,MATCH,none,G2,"Clean mode: E2E request metrics on, operator and CPU probes off."
