family_id,category,label,vllm_scope,kernel_name,count,vllm_kernel_ms,frontier_parent,mapping_status,child_frontier_ms,child_gap_pct,duration_family,shape_contract,source
K00,computation_memory,Embedding input index/mask,unscoped,triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,1,0.001664,missing,Frontier prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K01,computation_memory,Embedding gather,unscoped,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",1,0.005632,missing,Frontier prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K02,computation_memory,Embedding masked fill,unscoped,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1} const&)::{lambda(int)#1})",1,0.018816,missing,Frontier prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K03,communication,Embedding TP AR,tensor_parallel_allreduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),1,1.261573,missing,communication or communication staging; separate table,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K04,computation_memory,First input RMSNorm,input_layernorm,"void vllm::rms_norm_kernel<c10::BFloat16>(c10::BFloat16*, c10::BFloat16 const*, long, c10::BFloat16 const*, float, int, int)",1,0.034464,input_layernorm,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K05,computation_memory,QKV GEMM,attn_pre_proj,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT,48,1.4699189999999998,attn_pre_proj,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K06,computation_memory,Q/K contiguous copies,attn_pre_proj,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",96,0.62192,attn_pre_proj,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K07,computation_memory,Q/K RMSNorm,attn_pre_proj,"void vllm::rms_norm_kernel<c10::BFloat16>(c10::BFloat16*, c10::BFloat16 const*, long, c10::BFloat16 const*, float, int, int)",96,1.3599100000000002,attn_pre_proj,parent-only; child prediction missing,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K08,computation_memory,RoPE,attn_rope,"void vllm::rotary_embedding_kernel<c10::BFloat16, true>(long const*, c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, int, long, long, long, int, int, int)",48,0.7768359999999999,attn_rope,1:1 logical operation; timing-family mismatch,missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
K09,computation_memory,Attention external zeros/fill,unscoped,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",48,0.18128199999999997,missing,"missing; aten::zeros parent observed, source allocation owner unresolved",missing,missing,K: CUPTI device activity; kernels run batch4734 DP0TP0,A,kernels/first_batch_kernel_families.json
