source_field,frontier_effective_value,groundtruth_effective_value,unit,source_anchor,status,impact,owner
model,qwen3-a3b-30b-moe,Qwen3-30B-A3B-Instruct-2507,identity,prior requirements and config/model identity confirmation,MATCH,preserve model architecture,case
weights,trained latency predictor; dummy mode disabled,dummy weights,policy,prior requirements; current user inherits model setting,MATCH,runtime-only comparison,case
dtype,82 linear/2026 attention/774 merged MoE BF16 CSV rows,bfloat16,dtype,analysis/fresh_profiles_02_validation.json; supplements/moe-context-01/moe.csv,MATCH,Fresh dtype observed; runtime shape matching remains pending,profiling
parallelism,one Replica; ATTN_TP4/DP2; MoE_TP1/EP8,observed Worker_DP0/DP1; TP0..3; EP0..7,ranks,analysis/d007-operators-03-validation.json; analysis/d007-routing-03-validation.json,MATCH,Both diagnostic modes verified exact8 worker identities and formal request prefill coverage,runtime
device,h200 explicit,8 NVIDIA H200; 150754820096 bytes each,device,runs/h200-environment-probe-05/environment.log,MATCH,GPU model and memory observed on step_main,runtime
communication,collective_sim/htsim with nvlink_analytic,vLLM runtime CUDA communicator; naive DP dispatch/combine candidate,backend,Source default naive all2all uses DP broadcasts and DP allreduce; custom TP allreduce enabled. Fresh runtime op proof pending,UNSET,backend family selected; parameter parity remains pending,case
intra_server,D002 nvlink_analytic confirmed,8 H200 on NVSwitch; 18 active links per GPU,topology,analysis/h200_topology.json; user D002,UNSET,Topology observed; effective bandwidth and launch overhead still uncalibrated,collective
request_lengths,4096/1024,4096/1024,tokens,prior manifest pf4096_dc1024,MATCH,100 formal requests only,case
arrivals,official-clean01 observed normalized queue trace,100 formal queue_arrival_monotonic_s values,seconds,analysis/official-clean-01/request_id_map.csv,MATCH,Observed arrivals and explicit ID map; baseline uses this trace,workload
chunked_prefill,disabled,disabled with VLLM_V1_ALLOW_NO_CHUNKED_PREFILL=1,bool,prior runner and source guard,MATCH,preserve unchunked scenario,case
cuda_graph,none,enforce-eager,mode,prior runners,MATCH,no graph capture in formal case,case
max_tokens_in_batch,16384,16384,tokens,prior requirements,MATCH,same per-owner admission budget; observe effective config,scheduler
max_num_seqs,explicit1024 executed,observed max_num_seqs=1024,requests,runs/h200-fresh-frontier-02/runtime/settings.json; clean worker effective config,MATCH,Same configured per-owner limit; simulation completion still pending,scheduler
KV_budget,"310809 blocks per DP child, block16","explicit num_gpu_blocks_override=310809, block16",blocks,current per-DP scheduler source and fresh clean worker command,MATCH,effective runtime setting still checked in new startup logs,scheduler
prefix_cache,explicit false,observed enable_prefix_caching=False,bool,User D004; endpoint A/B server effective config,MATCH,warmup reuse must not affect formal workload,scheduler
warmup,empty logical queue with prefix caching off,3 full drained warmups;400 total completions,requests,analysis/official-clean-01/validation.json,MATCH,300 warmup requests excluded from clean mean,workload
primary_TTFT_D006,existing queue-to-prefill diagnostic plus independently evidenced missing critical-path work,official server first_token_latency,ms,YC confirmed D006; official v0.10.2 stats.py source audit,UNSET,metric selection resolved; the extended prediction requires measured evidence,metrics
clean_vs_diagnostic,Separate Frontier baseline output directory,official-clean01 complete; diagnostics03 operator/routing identityPASS; failed generations excluded,mode,analysis/d007-operators-03-validation.json; analysis/d007-routing-03-validation.json; analysis/official-clean-01/validation.json,MATCH,No instrumented timing enters official TTFT baseline,metrics
routing,balanced equal expert ratios; Hamilton integer counts,D011 deterministic uniform_topk; same-population direct runtime vectors verified,expert counts,analysis/uniform_routing_same_population.json; analysis/uniform_profile_selection_preflight.json,UNSET,24 direct count vectors match exactly; explicit profile runtime D012 and distributed batch population alignment remain pending,routing
profile_coverage,Fresh82 linear/2026 attention/774 merged MoE rows;272 target-prefill attention rows,Observed formal scopes expose SwiGLU and local moe_sum coverage mismatches,CUDA_EVENT,analysis/moe_profile_contract_review.md; analysis/operator_scope_contract.md; analysis/formal-operators-03/receipt.json,UNSET,Freshness passes; exact operator/shape/routing comparability remains unresolved,profiling
profile_runtime,Python3.10.16/Torch2.8.0+cu128/FlashInfer0.3.0,Same pinned runtime image and compiled package,version,runs/h200-fresh-profiles-02/runtime/environment.log,MATCH,Runtime versions observed; timing scopes still require comparison,profiling
