row_id,item,phase,scope,vllm_value,frontier_value,status,first_cause,confidence,vllm_anchor,frontier_anchor,frontier_owner,note
WG01,"coordinator latch, publication and frontend selection over the native history (T1 replay)",routing,all 48 formal routes and 3 warmups,native engine and counts per route,VllmDPLoadBalancer fed the 92 native receipts and 51 routes: same engine and same counts for 51/51 (48/48 formal),MATCH,,high,vllm/v1/engine/coordinator.py:196-312; vllm/v1/engine/core_client.py:1131-1156; runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json,frontier/scheduler/utils/vllm_dp_load_balancer.py; analysis/g5_comparison/t1_replay_table.csv,frontier/scheduler/utils/vllm_dp_load_balancer.py,Also 38/38 at PP1 in G3 (analysis/g3_t1_replay).
WG02,first formal scheduler batch of each burst (request ids per lane),admission,"bursts a, b, c",engine 0 step 0 [b1] 32 tokens; engine 1 step 0 [b3] 32 tokens; forwards in EP lockstep,lane 0 [b1] 32 tokens; lane 1 [b2] first chunk of 20448 tokens,MISMATCH,arrival/delivery order,high,"runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json (route_seq, scheduled_new_req_ids)",runs/frontier_g4 (summary.json; full evidence under /data/ycfeng/tmp/issue26-correctness-pr/calibration/dp_pp_case_001/runs/frontier_g4/),none (trace order is the input),"Client dispatch skew, not control flow: the 40896-token body routed after b3, b4 and b5 (S33), so the reservation sent b3 to engine 1 and b2 to engine 0 as its third request. Operator comparison is not meaningful here (dummy timing, D-e) and is not pursued."
WG03,first formal scheduler batch (request ids per lane),admission,burst d,"engine 0 step 0 [b1]; engine 1 has no step-0 record, its first iteration is step 1 [b2] 20448 tokens at 21.09 ms",lane 0 [b1] at 0 ms; lane 1 [b2] first chunk at 6 ms,MISMATCH,batch composition,medium,vllm/v1/engine/core.py:1170-1216 (run_busy_loop); runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json,runs/frontier_g4 (summary.json; full evidence under /data/ycfeng/tmp/issue26-correctness-pr/calibration/dp_pp_case_001/runs/frontier_g4/),"none (not modeled, S42)",Route order matched the trace. By source the missing step 0 is the wave-start dummy forward (inference: the dummy pass writes no record).
WG04,report at an admission that leaves pipeline room (the Step 9 behavior),report emission,"first admission on each engine, bursts a-d (8 engine-bursts)","7/8: a scheduled_without_applying iteration published (waiting 0, running 1); burst d engine 1 published (1,1) from step 1 after its dummy step 0","fixed policy: 8/8 lanes report (0,1) at the first admission, peers under one key (e.g. key 12 in burst a); control: no report",MATCH,,high,"vllm/v1/engine/core.py:385-397 (step_with_batch_queue schedule-only return), 1130-1168; runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json",frontier/scheduler/cluster_scheduler/vllm_load_balancing_cluster_scheduler.py on_replica_batch_scheduled; runs/frontier_g4 (summary.json; full evidence under /data/ycfeng/tmp/issue26-correctness-pr/calibration/dp_pp_case_001/runs/frontier_g4/),frontier/scheduler/cluster_scheduler/vllm_load_balancing_cluster_scheduler.py,MATCH for the 7 engine-bursts whose first iteration was an admission; the burst d engine 1 difference is WG03 (S42).
WG05,second admission on each engine,admission,bursts a-d,"admitted only after the engine blocked on its oldest batch, measured from the burst's first route: a 33.87-47.35 ms, b 30.80-31.85, c 21.28-30.64; d: b3 129.48, b4/b5 311.85","admitted on arrival into the second pipeline slot (a: 0.5 and 0.75 ms; d: 12 and 18 ms), no report (folded into the completion)",MISMATCH,batch composition,high,"vllm/v1/engine/core.py:385-424 (an empty schedule is appended and the engine blocks on the oldest batch), 1181-1190 (dummy forward); runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json",frontier/scheduler/replica_scheduler/base_replica_scheduler.py:1052-1063,frontier/scheduler/replica_scheduler/base_replica_scheduler.py:1052-1063,"Semantic rows S43 and S42. Candidate fidelity gap in Frontier PP>1 admission, outside the Step 9 placement scope; needs review before any change (plan §18.9)."
WG06,first frontend-visible snapshot after the burst,snapshot publication,bursts a-d,"[[0,1],[0,1]] latched from both engines' step 0, published 35.05, 31.19, 21.52 ms after the first route (a-c) when a report with a newer step arrived; d: [[0,1],[0,0]] at 21.43 ms","fixed: [[0,1],[0,1]] published at 50 ms (a-c) and 56 ms (d) by the collection wait; control: first publication at 161/166 ms",MATCH,,high,"vllm/v1/engine/coordinator.py:196-227, 280-312; runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json (snapshots, provenance)",frontier/scheduler/utils/vllm_dp_load_balancer.py; Frontier reports replayed through VllmDPLoadBalancer (0 selection mismatches),frontier/scheduler/utils/vllm_dp_load_balancer.py,"MATCH in counts for a-c; the publication time differs (latch trigger natively, collection wait in Frontier) because natively the next-step report arrives at the first completion or empty schedule, 21-35 ms, and Frontier's first completion is at 111 ms (S31). Burst d counts differ: see WG07."
WG07,frontend-visible counts at the probe,frontend selection,burst d,"[[0,1],[1,0]]: snapshot [[0,1],[0,0]] plus the b5 reservation; engine 1's count is its previous-wave state","fixed: [[0,1],[0,1]]",MISMATCH,key grouping,medium,vllm/v1/engine/coordinator.py:196-227; runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json snapshot 41 provenance,frontier/scheduler/utils/vllm_dp_load_balancer.py,"none (not modeled, S42)","Engine 1's first report carried step 1 because its step 0 was a dummy (inference, WG03), so it latched the state before engine 1 reported. Both sides still route the probe to engine 0."
WG08,probe placement,frontend selection,bursts a-d,engine 0 in all four,"fixed 0, 0, 0, 0; completion-reporting control 1, 1, 1, 1 (from reservations [[3,0],[2,0]]); round_robin 0",MATCH,,high,runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json,analysis/g5_comparison/comparison_status.json,frontier/scheduler/cluster_scheduler/vllm_load_balancing_cluster_scheduler.py,"Lane equality only. The T2 slice is not qualified in any burst (SCENARIO_NOT_REACHED, failed checks in analysis/g5_comparison/comparison_status.json), so this row is not C4 evidence."
WG09,control's counts at the probe,frontend selection,bursts a-d,"[[0,1],[0,1]] (a-c), [[0,1],[1,0]] (d)","completion-reporting control: [[3,0],[2,0]]",MISMATCH,count calculation,high,runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json,tests/integration/test_vllm_dp_placement_runtime.py run_case completion_reporting_control,test-only control,The expected failure of the control: without schedule-time reports the reservations stand until the first completion.
WG10,burst route order,routing,bursts a-c / d,"a-c: b1, b3, b4, b5, b2 (the long body last, about 1 ms after b1, all about 7 ms after dispatch); d: trace order",trace order,MISMATCH,arrival/delivery order,high,runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json route_seq; run/client_requests.jsonl dispatch_monotonic,inputs/trace_g4/trace.csv,"none (IPC and HTTP processing not modeled, S30)","Semantic row S33. MATCH for d, MISMATCH for a-c."
WG11,first applied output after the burst,completion,bursts a-d,"33.83, 25.10, 21.27, 19.72 ms after the first route (a 32-token forward)","111.14 ms (a-c), 116.89 ms (d)",MISMATCH,output readiness,high,runs/groundtruth_clean/dpp-g4-20260923a/extraction/chain.json,inputs/frontier_g4.json,"none (declared, D-e)",Semantic row S31: Frontier's token-independent dummy time is set to the 20448-token chunk (111.00 ms native).
